"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"UBL3",2.6499495975521,5.96449687878408,5.80494972041871,3.40269187286897,5.74370072016522,5.05338102446421,5.39958172458097,5.25946294655419,2.71997389834468,5.57958588751107,5.12906029579315,6.84321689661899,5.91998855629723,7.46009497485115,4.00063879423807,3.17286462202729,3.24884401347808,4.56905898180176,7.21706171768174,7.54933331831982
"KIAA1191",5.72918786750173,6.03773887863171,6.0899929628905,5.98990676783114,5.82344997253492,5.97679184420473,5.3950580152562,5.84987284764192,6.07779487778678,6.63418999199066,5.51245613872594,5.9881294651896,6.01658577317579,5.75514610230673,5.91376491222102,6.97276051711071,6.0406043121803,5.50780456110664,5.90213941751153,6.00431984731918
"BAZ2B",1.98903291710572,3.24990037961781,3.8415504534076,4.5056881367211,3.76175528077658,2.73053434960994,3.88428054263448,2.7997219191669,2.10241898527168,3.99990354675315,4.63341150383514,4.02160817847167,4.22174513220397,4.58787667562198,3.79625024880081,3.94434609137107,2.97670602780798,3.10880204971271,4.04803772895316,4.07462816470305
"POPDC3",5.30619309837161,5.41151841689428,5.24540740810083,6.13288540585634,5.39307666293414,5.57949559125365,5.33028089433749,5.14624355671648,3.93262729596852,4.03491749232875,5.67498091011952,5.09345766384409,5.1871803991025,5.24237249761906,5.87186819070885,4.54741729569358,5.41458120239035,5.20801918583038,-3.32192809488736,-2.86950193078171
"LOXL2",6.43789251680367,2.32905756334787,1.80258791555851,7.53792924681755,1.34765705284272,2.88172011347392,6.34311774312776,5.35323174686074,6.07295653670773,4.57457981367668,5.46877515711753,6.07340898786659,2.43966872024405,3.43956003437904,8.54757511992592,7.18457394539422,8.35937534644824,5.76291249218236,2.73771038215413,3.12779352822534
"BHLHE40",2.35978372254351,3.9640641981467,3.75756779024688,5.38486095976863,5.15203481057676,5.42077060616596,7.0455277036024,6.14491568008462,2.24471895073286,4.1665504153326,6.88227054488396,6.76183078571897,6.71685585893252,5.99375235879751,3.06399515469226,5.90814530266004,3.5170664198037,4.63740946209019,5.7999960657502,6.364876976596
"ANXA1",10.4420393732638,3.7688148351402,4.4068759079883,8.86045973131163,6.24185991682513,8.58952877343104,9.03386094623389,7.19081226326741,9.65185043462679,7.53819263117373,8.02807188041084,7.78293565255391,5.27666023292792,0.48194275767882,9.31797504986546,7.5571161787049,8.61052126073492,8.70426239716357,7.88179284653893,7.70561238364152
"CD63",9.95402832778021,12.3562072062432,12.3635342604268,10.0219385698095,11.8419771139106,12.7064972515476,12.2993998891367,12.6359001201126,9.60810062131913,11.4123980126319,12.591633038146,12.9530368774515,12.5820631568874,12.4695777265161,11.420061747287,10.1288617880173,9.93370268078479,11.6519091900139,9.47105342674068,9.78209987178991
"SERPINE2",11.0317088585016,7.91261337729555,8.50841191185117,4.26089254192076,8.27431343407494,9.21775759601679,12.5530588157377,9.10364911694519,6.74524258066787,8.4675034329918,10.5090988937152,12.1310039509165,7.98430948005694,8.40573551384883,12.4038581895878,9.82214271152716,10.7635693764849,10.8115944898438,-1.21338380357749,-1.73877654438914
"NDUFB5",6.09670262558522,6.65381516986191,6.4552883192284,6.63303942474619,6.46042286559155,7.22142902940409,6.89866075198776,6.36815414486317,6.82134974288569,7.14636979155504,6.69441675715827,7.24218864115492,7.93415534504376,7.25841348705231,6.80503633938741,6.67306626032421,6.67616982551946,6.44056073558737,7.71068275348477,7.72569671917932
"ATP6V1G1",6.12603845653499,8.07291903518766,7.77082395525465,6.7615075739367,7.21390296055573,7.93703149579723,7.24398603088569,7.62188782466261,6.17678137822886,7.83880866787068,6.78937876373248,6.95654174077899,7.17710347670636,6.5955157418466,6.84603410475329,6.76461454721386,5.93720698329131,7.41206700199977,8.67471412614601,9.14785070261337
"FAM8A1",2.29629681213884,3.06840122198481,3.41488685447514,3.17633559192581,3.66017224779009,2.81157055982466,3.69732906808262,2.84531111834361,2.43693585779845,2.98627798013441,3.70336151493518,3.50034031814438,4.03690434262346,4.03506758491044,3.69130599990051,3.66310422023775,3.13614157779539,2.81528237392136,4.19189556938163,4.243636102726
