symbol	FemxI.DMSO	FemxI.G007.LK	FemxV.DMSO	FemxV.G007.LK	MeWo.DMSO	MeWo.G007.LK	Skmel28.DMSO	Skmel28.G007.LK	WM115.DMSO	WM115.G007.LK	WM1341.DMSO	WM1341.G007.LK	WM1382.DMSO	WM1382.G007.LK	WM239.DMSO	WM239.G007.LK	WM35.DMSO	WM35.G007.LK	A375.DMSO	A375.G007.LK	WM1366.DMSO	WM1366.G007.LK	WM793.DMSO	WM793.G007.LK	WM852.DMSO	WM852.G007.LK
ABHD12	1700	3709	3380	3568	1936	2121	7362	6538	3548	3967	5338	2439	4868	4817	3939	3485	3624	3120	1351	2180	549	517	710	914	3896	3898
ABHD13	519	1196	663	844	730	939	534	667	835	1077	1255	639	1036	1007	983	962	603	569	787	1039	587	551	361	533	854	889
ABHD14A	115.289867	247.5740888	241.8489167	224.1273	228.2538855	317.1795055	757.8817794	680.5218123	429.7224509	518.1454657	438.6037284	185.7769012	691.8646711	739.1859522	502.0789108	458.678903	620.0193972	595.7314665	310.0117833	470.6204181	226.0834091	232.47221	229.7877208	301.8326105	418.2627587	499.6838605
ABHD14B	1258.120178	2745	1980.763741	1910	2524	2939	3657	3207	1447	1738	4726	2283	2561	2611	4777	4031	7099	6400	4368.84211	6734	3580	3250	472	622	2605	2787
ABHD15	313.833806	706.3785039	499.3078393	485.5380023	174.3946876	174.4751902	724.9438627	723.3021792	845.7782975	1111.835948	842.822026	396.2981366	334.3287958	372.4724853	1358.037462	1190.436441	462.1654008	405.9781543	377.8420563	517.6926764	173.0554489	219.8457399	391.0771965	587.5231272	559.229445	525.5913517
ABHD16A	2.629904507	7.51146678	2.925403565	1.540679685	9.697424097	28.05076592	9.616954147	5.698876663	365.3579017	383.1010402	15.18752853	5.28821691	6.357982874	14.26646555	632.4446627	605.274289	11.42642621	2.669465496	139.6219604	144.4787267	449.4213557	385.5021691	2.930053604	6.034291365	2.042224503	6.022389746
ABHD16A	228.8132562	516.4799735	377.6964491	425.6993694	218.2420982	247.1865457	598.1858233	505.7463278	64.94016705	135.2060649	576.8793488	265.4982436	194.0521629	249.4988565	4.101226623	81.71918465	418.6006506	355.9235511	63.72083119	123.2767164	7.808447366	17.06405207	273.4899776	354.5448551	499.1437932	497.9843943
ABHD16A	228.8132562	516.4799735	377.6964491	425.6993694	218.2420982	247.1865457	598.1858233	505.7463278	64.94016705	135.2060649	576.8793488	265.4982436	194.0521629	249.4988565	4.101226623	81.71918465	418.6006506	355.9235511	63.72083119	123.2767164	7.808447366	17.06405207	273.4899776	354.5448551	499.1437932	497.9843943
ABHD16A	228.8132562	516.4799735	377.6964491	425.6993694	218.2420982	247.1865457	598.1858233	505.7463278	64.94016705	135.2060649	576.8793488	265.4982436	194.0521629	249.4988565	4.101226623	81.71918465	418.6006506	355.9235511	63.72083119	123.2767164	7.808447366	17.06405207	273.4899776	354.5448551	499.1437932	497.9843943
ABHD16A	0.709348901	5.637263362	1.435715146	0.42680537	4.502585292	24.59073663	7.023118106	3.266981284	349.2130878	382.9144562	13.22395726	4.575923791	6.166812913	13.97977056	601.4839076	542.1963976	9.602736455	2.669465496	133.0000533	138.3465949	400.2785558	345.8026043	1.565702975	4.456811407	2.042224503	2.382502998
ABHD16A	28.86331819	70.32575667	76.76632098	103.744199	56.55829092	26.93850966	54.40558828	127.6020962	463.4160672	198.1384905	125.45303	35.88755751	355.9474915	274.6346452	476.1856969	369.060501	76.43305598	83.89493771	4.607746364	61.25632529	52.33305248	19.74713792	38.13616269	84.61705994	385.0098142	456.4147186
ABHD16A	3.261904508	16.08559265	12.24824228	9.190207559	10.34150016	17.86035062	25.39686953	12.19306235	486.1924422	604.5783188	16.4974379	10.08659639	513.9610632	449.6225492	741.582053	481.3112585	22.73582969	18.99547795	4.607746364	12.0882038	0.541693868	0.196306079	6.898147965	6.257272082	343.4743571	413.2272058
ABHD17A	1731.762455	3593.431183	2977.194352	3011.635017	2495	2544.835604	3795.338336	3200.784154	2034	2369.213251	4278.811767	1936.442335	3328.303422	3437	2573.510187	1893.661837	3027.908375	2379	1375	1948.817536	2162.961238	1856.621377	1345.200337	1615	1657	1667.836121
ABHD17B	439.0488261	1020.153578	668	805.6355397	353.1808357	452.8880066	715.6032846	861.3144422	521.5907295	619.7658129	1155.879533	565.4703243	740.8223721	801.2954715	693.5002563	626.445076	1211.988279	1061.807865	694.0939238	876.5871914	369.4605449	349.4403636	232.3534934	421.7498631	365.9559548	378.8791851
ABHD17C	794	1912	811	868	836	1074	2473	2477	2956	3444	997	477	515	520	982	1212	4426	4770	1344	2733	485	446	1390	2741	1414	1244
ABHD18	174.7363698	416.2744086	292.7558131	342.7027988	232.3554258	296.4285885	230.4285724	268.260903	286.5727745	330.0033391	392.1693344	182.6338151	292.3820572	255.1782644	695.7127175	631.1579848	450.8714047	483.3376322	273.6929317	327.4934572	250.6330994	240.1455143	153.8719563	196.0167372	397.1473553	427.9151606
ABHD2	4587.871125	13800.92745	9437.049851	11964.69319	3754.853708	5909.564655	21016.37179	29932.56391	24770.506	32060.55912	12346.51155	7120.13455	6415.907148	5823.020022	12782.78173	11919.36734	12496.19143	13155.81098	2125.8348	2786.815263	2691.697503	2578.955918	7488.783036	13391.92796	5922.662634	6361.383578
ABHD3	434.1090019	885.0093569	714.9622338	718.6058225	521.5596401	634.4661717	1120.938269	1244.0988	661.1920977	726	2169.043443	996.5959728	1839.031661	1904.680463	782.3318408	824.0038883	999.0497618	901.2713845	311.0028632	467.4134062	236.1521314	250.0628608	384.0113837	461.2358826	886.6813285	950.4060822
ABHD4	415	1039	697	739	774	896	1081	1022	1997	2534	1542	846	2929	3054	2025	1795	889	811	386	518	828	906	1297	2034	902	1067
ABHD5	259	577	662	692	286	403	728	788	456	509	921	419	621	700	827	868	980	877	426	607	502.0171871	404	242	349	899	917
ABHD6	309	694.1210568	653.2091341	699.3027525	790.8018956	1053.168194	1477.531003	1450.259592	902.1145177	990.1232571	1265.907267	732.8561334	634.1034054	712.2773339	925.2276159	866.1282162	1722.551923	1674.829052	299.1295448	493	214.0034359	204.1416989	301	419.0052032	311.0117916	365
ABHD8	119.29553	186.8518464	209.6265565	220.7991313	275.9260908	333.9479355	484.886654	511.4838335	299.0846746	326.5108038	438.4888347	205.1521448	379.6627079	373.6991791	327.9319119	246.8795885	253.9611637	227.8951463	390.945278	561.006612	250.9501308	263.67582	165.0815656	182.25675	447.7267876	429.4620512
ABI1	1647	3804.614976	2730.665993	3035	2569	3445	3264	3277	1596	1982.712302	6820.134907	3115	3826	3954.664065	3143.616252	3224.735822	3822.623573	3494	1119	1552.346521	1373.225053	1194.42935	998	1403	861.6886071	863
ABI2	3088.914417	7043.691678	5245.47921	5424.275223	2709.184725	3414.006504	4208.995935	4586.617962	2303.547703	2695.330034	3836.534192	1740.720163	3826.836496	3581.8119	8276.746483	8581.308996	4647.227424	4416.475734	2684.799169	3475.571265	2967.843007	2697.593836	1886.496864	2433.960171	4894.316531	4842.716786
ABL1	2064	4128	2635	2625	2980	3570	3047	3020	5107	5729	6584	2819	7812	7726	3459	2992	3280	2971	2845	3537	3912	3437	2150	2713	2170	2304
ABL2	4411.132352	8566.629951	4437.282176	4316.122815	5294.932087	5904.637991	5839.634962	5411.096092	3721.504593	4101.886973	16724.58984	5781.968637	7686.080316	6332.929485	7612.60996	7465.230204	11190.85423	9590.968014	3286.62157	3951.354687	5011.828194	3317.434505	4012.099102	3686.824463	2461.533011	2505.088123
ABLIM1	350.0187471	798.5588985	811.9929955	812.2920377	666.3734634	846.9544786	138.3475965	85.06558457	146.8465696	194.275975	58.57092324	41.10506084	5791.967597	5488.927815	145.7644348	195.050015	1270.761508	1155.053227	1030.035954	1209.03528	2809	2574.357794	129.2506708	134.9777372	198.2066725	261.4652411
ABR	95.8146954	390.4539113	295.2511849	182.1698175	4022.377453	5974.896148	167.7888454	253.3708475	129.9533647	88.9197956	250.5330254	70.56855018	85.50945335	84.68654848	64.17160691	113.6216089	175.9005456	175.8001664	776.4300781	1128.496126	44.21021164	34.93272181	129.0090462	84.39374315	18.81057246	14.00482934
ABR	4229.29346	10574.6121	6861.372329	7043.122645	235.9959755	444.692542	6222.148837	8346.776175	2937.780003	4041.430706	7273.775503	4142.18755	4839.317631	5166.243093	1745.320353	1587.133425	4396.040507	3890.445508	103.1855634	143.9970261	245.1900936	250.6982969	480.3643209	601.4026605	419.8675404	330.8496643
ABR	2915.244178	6286.07616	4302.611469	4412.589627	4823.584966	5809.878295	7599.278009	6826.090489	7129.623889	8436.810964	6590.295224	3130.627303	3276.758451	4611.230793	4614.011739	4455.846656	2220.344827	1932.419705	2850.759861	3735.030932	2294.74182	2650.78963	2906.448468	3654.335361	2558.466036	2598.771704
ABRACL	1046	2157	1242	1477	1793	2602	2310	2054	704	922	2933	1425	1973	2001	2323	2634	1727	1524	609	1010	967	1030	497	617	684	650
ABRAXAS1	304.4978818	711.3766197	548.6659222	604.630132	437.3701133	513.6783431	377.902106	500.7561577	247.210395	311.1422949	755.8418828	367.2997989	427.8070061	395.3563002	757.802502	786.7225595	713.6440674	763.3600516	318.9313112	444.911066	188.2513475	212.0170792	143.0324795	218.1890152	241.6150405	257.1339476
ABRAXAS2	681	1498	943	974	802	994	915	1017	476	600	1566	751	1265	1217	1105	1001	1483	1453	1058	1384	984	947	320	447	873	865
ABT1	1053	2318	1521	1702	871	1025	1460	1281	831	1004	1756	849	1508	1544	1681	1495.93837	356	273	907	1234	1224	1027	583	780	1273	1208
ABTB1	266	543	689	708	818	749	1777	1416	1006	1149	741	352	680	759	1153	898	1137	1043	504	823	861	695	785	1320	1180	1266
ABTB2	298	604	648	544	667	934	1202	1197	2430	2557	1902	810	1302	1384	4821	3729	2120	1882	591	775	803	664	759	1162	527	451
ACAA2	3033.170095	6791.298278	4913.433999	5331.345248	1838.101061	2463.529189	2757.90794	2579.373889	1038.593599	1240.513851	5993.084724	2793.280456	3305.761642	3285.859865	2237.398774	2236.344221	2627.116491	2299.254207	1036.593578	1769.070514	653.5394394	646.469318	947.8869202	1255.889173	2585.732492	2757.215762
ACACA	2339.618866	4426.438266	2685.983216	3170.884014	2286.605585	3137.337545	1048.900596	1773.982602	2376.830189	3370.396321	3709.938902	1562.554646	3384.040466	3540.806148	5736.801724	5675.770202	2406.683418	3276.288707	1634.051337	3207.735597	1622.686992	2247.720023	925.2756405	804.6094861	2707.244788	2855.945785
ACACA	2603.38598	7244.832218	5149.171572	5143.122289	2380.414958	3641.704044	2488.140523	2149.072678	3075.20912	3081.649653	3256.356662	1482.509362	3435.546737	3496.065793	5366.738885	6243.373916	4443.405784	3197.746386	2955.818586	2524.353466	2797.998772	1828.96538	1288.301596	1994.738856	2545.837679	2420.279524
ACACB	1481.880251	4072.69418	2712.903641	3019.483416	931.2108769	1218.236735	1532.093473	1868.677862	959.9416714	1432.798152	2029.767118	962.0895828	616.2469268	669.1622301	1508.177363	1460.637938	1300.214965	1139.14009	293.3229758	414.383775	197.5175401	174.6664904	157.70445	222.5625042	202.9147502	255.6476675
ACAD10	555.1402351	1246.682138	905.7492414	1000.178298	775.3195032	863.5685804	919.4040052	880.0199071	807.3920277	918.042684	1865.652712	852.05354	1098.351506	1083.289541	1296.722476	1067.894408	1574.537642	1543.979488	594.4296064	934.5377077	666.2309288	628.5902223	336.0608561	527.1233741	824.9808552	905.3074045
ACAD11	461.5980578	1154.068946	671.4704063	680.3296968	447.474301	426.0745062	1476.987519	1504.705077	1198.606595	1417.04566	1110.47082	529.3733297	776.6767485	762.9185155	1065.055857	1077.064271	1763.892273	1857.412252	539.0890463	773.1503218	1161.02793	974.5382292	310.5355156	585.1496944	1016.538349	1202.643859
ACAD8	469.0208899	849.2557153	907.4325122	959.0138317	553.2910363	558.0693144	946.2903967	765.5597594	967.2576449	1069.309613	1514.38358	702.0167564	627.1094736	609.1712914	1793.816505	1491.276732	1424.985614	1452.105802	680.0846481	937.0090541	719.3291869	670.1597104	457.0319586	651.2011209	1341.999679	1477.726034
