"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"FBXO2",0.0902848204847279,2.62636995340672,1.41061845542903,0.982250347951644,1.07051742858952,3.59993959422024,2.44526490663829,2.31218105517555,-1.16895869234029,0.0245042653733979,2.11607696787711,0.924303237280956,2.1755407678513,1.90825662253815,0.918506225931601,4.54829665299674,0.176812301065088,-0.299818781441488,1.80922503070745
"PIK3R3",2.21207543956048,5.00644253055879,5.11080132854014,2.03837999317407,2.15207374151237,6.45776540335703,2.56173534713138,3.90863068555213,0.56504569756298,3.65488927747545,5.13606180813131,4.09955016379148,3.77238046341452,6.93820204085916,2.42337649526129,3.80978769886214,1.90739537882351,3.6614870303588,5.24271544377478
"TNFAIP3",2.08006029969827,4.22430716735597,4.33065075814364,3.51303044870723,2.85306852531319,3.96959699412289,3.2851533560545,4.09826409148307,2.58561500138178,1.34864663829504,0.737699824294352,2.19416592855511,4.12519215396701,2.80338075516748,4.22449371077041,4.53571564527283,3.51789094712716,4.11276727823741,2.39941780943644
"CTGF",5.37716196111792,2.4458816411034,1.36596173059127,5.89575134100268,3.59652505683457,4.53956676941937,2.34564988846034,-2.23733028158321,8.33001653546877,4.25989441408872,3.53198213080828,2.32255217858039,5.26212782465601,1.68496823369435,9.81531917854613,4.27454794832893,3.36421660848636,4.84926648506662,4.45640899334667
"VAMP8",5.31542512150073,-0.284649126480351,-1.23844211734073,-0.793420015251512,-0.812664805223562,6.56584923622055,-0.0115615514654763,-0.608093232655658,-1.57122235079825,-0.0380531801428159,-0.611139371054123,3.34830604809155,4.75169631194171,1.00077124815343,-1.29261482612581,-0.0858834057260931,5.09691188887888,-0.650615913282552,6.06553916407458
"WIPF3",-3.15967211677996,2.96823847838283,1.55983955888905,-3.06560045520397,-1.74932649974672,-2.31003084947618,-0.773069008639594,-2.75087063145913,-2.24629650855422,4.67994465724031,-1.60089848127147,-0.86043618255123,-2.37942295883465,-1.91464674533414,-2.15993084556032,-2.3007976941781,-2.76088991767644,-2.86073311778771,1.54723239100798
"TWIST1",3.14167152942654,3.18259644148666,3.34437385674939,3.19182695433394,3.63465016065912,4.38398551012574,4.82036537930372,3.70098472360763,3.43443251865249,4.48628401479828,3.10533782915789,-0.813069784972873,4.1142460659748,4.02618765550121,5.25765418496868,3.38762480821834,4.84339229469767,5.2718702441462,3.84793428666677
"KCNJ2",1.58361811923501,-1.80529307875535,-2.44527084630051,-2.87590291148463,-1.57144907385399,-1.97225778933175,-1.72114846728603,-1.43847450346544,-0.430149746827929,0.34490662592841,-0.771350160930868,-2.02897707688443,-1.45506269578781,-1.66255658869461,-0.716212541091274,-2.02982730265186,-2.51761542867921,-2.1842327392194,1.68884757705537
"MXD4",3.29648661664231,1.97656529784744,3.53543511648107,4.59334068594545,3.81126427058457,3.67333507530639,4.13510521899188,2.99635386818511,3.85663805214594,4.55011039977358,3.11327468780069,4.73284199144619,4.10366295490548,3.54248135608035,5.01358078537727,4.46538536951889,3.8925423835407,3.78754782035207,3.33400536206068
"XPO5",5.38212611668736,6.09922743549682,6.12193144256713,6.18878248801485,5.61766762935242,5.53863854070686,5.7049700311357,5.60777955491967,6.47903866183199,5.39897022552005,5.17380778563373,5.920417057304,5.44443465881311,5.44704424696582,5.60296040676134,5.26071498356314,5.6336406952254,5.63231897217792,5.96815650683965
"EFNB2",3.24146267639706,1.35027941029644,0.410906521972374,2.19116518556803,-1.11585753295606,-1.13268935920145,2.01654929361638,0.166266911059929,1.63205812553754,2.53962545594018,-1.73096912618379,-0.483261915174265,-0.233149048419731,-1.47687103787008,4.50123794558175,4.33884889143531,0.882301977445957,1.3134975532521,3.31886258172104
"CITED1",0.779672547642653,4.38639973881651,3.37779296488133,0.0607370368665544,5.65702198370589,4.60275671068033,4.47054367865037,3.53075095706787,-0.877136238261037,7.45074444274576,3.51063808132411,5.4292626395825,5.00275595882006,6.32064647969485,1.62176742204299,-0.733809693452825,5.10822901088396,4.42203363970002,5.48098791460871
"AJUBA",5.16440392914727,2.35886281223951,2.71654385084381,4.23738799436055,1.61722193643468,1.43327453912675,2.90073054835264,2.55216662995959,7.02141492304684,2.36915421281974,2.24250693464148,2.38011770718989,1.99947238401736,2.43490492398495,5.17864069123766,3.54211957642129,3.75983838691835,3.71668662453357,4.65811297053172
"LGALS3",5.1580872346413,10.4952680268922,9.67240350689351,2.58926422314475,9.35626119799056,10.6563995863313,10.1225233811786,11.9017237442636,4.86965023252747,9.48981248834885,8.55395319069132,10.757381647025,10.3417866292269,10.228363433106,5.89373955055617,6.79897529166909,6.56601453058138,8.02079710391873,7.91636625825719
