"gene_id","symbol","DMSO","G007LK","WNT","WNT_G007LK"
"ENSMUSG00000100699","GM21765",0,0,0,0
"ENSMUSG00000100700","GM6137",0.054273428482321,0.00041855431697101,0,0
"ENSMUSG00000100701","GM19587",0.414876455916402,0.308984231297572,0.782576375723433,0.423092784395711
"ENSMUSG00000100702","GM8976",0.250213384941574,0.617248098335082,0.308495795713206,0.492522107468162
"ENSMUSG00000100703","GM28358",0,0,0,0
"ENSMUSG00000100704","GM28434",0,0,0,0
"ENSMUSG00000100705","GM28227",0,0,0,0
"ENSMUSG00000100708","GM21173",0,0,0,0
"ENSMUSG00000100710","GM29197",0,0,0,0
"ENSMUSG00000100712","GM28446",0,0,0,0
"ENSMUSG00000100713","IFNA7",0,0,0,0
"ENSMUSG00000100718","GM21717",0,0,0,0
"ENSMUSG00000100720","GM10075",0.927483184307422,0.703030746691064,0.568798164409941,1.02818327198892
"ENSMUSG00000100721","GM9271",0,0,0,0
"ENSMUSG00000100723","GM28160",0,0,0,0
"ENSMUSG00000100724","GM28533",0,0,0,0
"ENSMUSG00000100726","GM21497",0,0,0,0
"ENSMUSG00000100730","GM20776",0,0,0,0
"ENSMUSG00000100731","GM29523",0,0,0,0
"ENSMUSG00000100732","TOPBP1-PS2",0,0,0,0
"ENSMUSG00000100734","RPL23A-PS8",0,0,0,0
"ENSMUSG00000100736","GM5147",0.131662845219145,0,0.0777551055146854,0.0560234553513037
"ENSMUSG00000100737","GM21774",0,0,0,0
"ENSMUSG00000100740","GM29476",0,0,0,0
"ENSMUSG00000100741","GM28814",0,0,0,0
"ENSMUSG00000100742","GM28953",0,0,0,0
"ENSMUSG00000100743","SCGB1B25-PS",0,0,0,0
"ENSMUSG00000100744","GM17764",0,0,0,0.109022561887759
"ENSMUSG00000100746","GM28716",0,0,0,0
"ENSMUSG00000100749","GM20798",0,0,0,0
"ENSMUSG00000100751","GM5116",0,0,0,0
"ENSMUSG00000100752","GM28847",0,0,0,0
"ENSMUSG00000100753","GM29435",0,0,0,0
"ENSMUSG00000100754","SCGB2B5-PS",0,0,0,0
"ENSMUSG00000100755","RPS23-PS1",2208.14552563952,2185.68007278588,2216.29687484829,2427.07434010392
"ENSMUSG00000100756","GM21257",0,0,0,0
"ENSMUSG00000100757","GM29613",0,0,0,0
"ENSMUSG00000100758","GM3332",0,0,0,0
"ENSMUSG00000100761","GM29344",0,0,0,0
"ENSMUSG00000100762","GM8403",0,0,0,0
"ENSMUSG00000100767","GM3508",0.159834117171778,0.113825883066672,0.177211355890203,0.0411153735777858
"ENSMUSG00000100770","GM28466",0,0,0,0
"ENSMUSG00000100771","GM28618",0,0,0,0
"ENSMUSG00000100772","GM28350",0,0,0,0
"ENSMUSG00000100773","GM28366",0,0,0,0
"ENSMUSG00000100774","GM7329",5.11430731848597,6.7338652250136,1.87061533522679,0.989692933228372
"ENSMUSG00000100776","GM18254",0,0.0215430249721766,0.0374422744116041,0
"ENSMUSG00000100785","GM29333",0,0,0,0
"ENSMUSG00000100788","GM21122",0,0,0,0
"ENSMUSG00000100792","GM29161",0,0,0,0
"ENSMUSG00000100794","GM29667",5.6997697769549,4.47368344542209,5.61845773378086,4.26764373734857
"ENSMUSG00000100797","GM28596",0,0,0,0
"ENSMUSG00000100800","GM21301",0,0,0,0
"ENSMUSG00000100801","GM15459",594.728333006633,578.284470040275,630.437983489305,640.227546890098
"ENSMUSG00000100802","GM20889",0,0,0,0
"ENSMUSG00000100803","GM28251",0,0,0,0
"ENSMUSG00000100804","GM28150",0,0,0,0
"ENSMUSG00000100806","GM28396",0,0,0,0
"ENSMUSG00000100808","GM28594",0,0,0,0
"ENSMUSG00000100810","GM29086",0,0,0,0
"ENSMUSG00000100814","GM28669",0,1.21219296224869,1.47381819915863,0
"ENSMUSG00000100818","GM21287",0,0,0,0
"ENSMUSG00000100819","GM2693",0.274761920468065,0.410366062641757,0.363525747879213,0.557800505085757
"ENSMUSG00000100821","GM28894",0,0,0,0
"ENSMUSG00000100825","ITPA-PS2",0,0,0,0
"ENSMUSG00000100831","GM17847",0,0,0,0
"ENSMUSG00000100834","GM21285",0,0,0,0
"ENSMUSG00000100835","GM28907",0,0,0,0
"ENSMUSG00000100838","GM29094",0,0,0,0
"ENSMUSG00000100839","GM5920",0,0,0,0
"ENSMUSG00000100841","GM21115",0,0,0,0
"ENSMUSG00000100842","GM17790",0,0,0,0
"ENSMUSG00000100843","GM8307",0,0,0,0
"ENSMUSG00000100845","GM28770",0,0,0,0
"ENSMUSG00000100846","GM28845",0,0,0,0
"ENSMUSG00000100848","GM29281",0,0,0,0
"ENSMUSG00000100853","GM28232",0,0,0,0
"ENSMUSG00000100854","GM28057",0,0,0,0
