"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"CD81",7.53308988161084,9.22393679902972,8.95803193941664,8.27458818478427,8.30061129543743,9.87902555433045,8.13696924263241,7.96808278997552,7.73745730269227,9.36350416377732,7.96891475040953,8.00066415493995,7.61920182493391,8.04960426517384,8.30464381950424,7.70893345786161,8.32694153062427,8.31534325361299,8.05486341570655,7.56738656727514,7.56588944249439
"C11orf58",7.52062316134096,7.94557506483812,7.4221523547218,8.19621957032335,8.34949868184325,8.66324493126996,8.05724472166127,7.88033221460099,8.12490300009874,8.07202421818845,8.05482755528714,7.57740962794166,8.01356017542807,7.48165307827626,8.16084740476235,8.08661666231567,8.3185758782135,7.8418671720045,7.3082211178813,7.41318816112192,7.45887274367983
"RPS13",10.8676067778003,10.7339194925002,10.2480196541895,11.3708075700246,10.3852149262132,10.8264554534831,10.1383346921317,10.0672131396107,10.7497276313806,10.518088068384,10.4149815007038,10.7733084319553,10.5120881348169,9.82103169002254,10.2434639918068,10.708843079088,10.9677639581367,9.67601879616426,10.4253152359399,10.4229343492313,10.6051286023453
"ATP5F1B",10.9171831087723,10.6469837229421,10.6207897002713,10.2925560224434,10.8726140628789,9.90833243106829,10.4339846396005,10.5420134182517,10.5737895417738,12.0969194647749,10.5705990568222,10.517707833903,11.3095341035381,10.9225250456405,9.94594935195308,9.69064301465127,10.2081305172786,10.4682776703865,10.5016871563148,10.5855143036227,10.5283398467946
"PTGES3",9.00592834438661,8.37924419391955,8.3524971776543,8.78342397740579,7.84148717470263,8.04226256372607,8.21446332410784,8.1484299857267,8.5614139474704,9.6387309867118,8.44502894230426,7.72526867256519,8.44718108774249,7.89835648859945,8.23891509773771,8.3166465873562,8.49907995820272,8.40203302418928,7.4581328462531,7.68887550651817,7.58421539643886
"ARPC3",9.00123197489179,8.49937695341572,8.3895166972298,8.91277772458753,8.39475946672322,8.50240504977122,8.15520243726359,9.05802754721432,8.65567349378318,8.25667871430617,8.29628474680013,7.9501929732575,7.85580696336819,8.34355093300026,7.94460629390235,8.11304113513914,8.47540339811235,8.55439550067968,8.43621075990877,8.42089976437327,8.61561802997865
"CDK2AP1",8.19089774891365,8.76372391778554,8.72376030826405,6.38402216953709,7.52375169111251,7.97579053986434,8.74672078466762,8.16101544221843,6.63882214954428,7.83502098674111,8.53523787251986,7.95939051283794,7.49433621540743,7.47304235701698,8.55983614991032,7.72218999074897,8.80521315340862,8.37252823435143,8.54680330015065,8.54359849160062,8.50396317703996
"COPZ1",8.14814365511098,8.18674582383696,8.35966693719855,8.44543927299881,8.02053438463113,7.82049585986485,8.3451078031393,7.92938639908423,7.96834506983656,7.73314414242002,8.31331264372592,7.98088045278191,8.27144268930313,8.43752121134507,7.28035028616281,8.04985393090006,8.1685069317828,8.11510826895328,7.39172325442795,7.37684315856462,7.45443574507904
"MRPL51",9.08315838124699,7.94163766622163,8.10535210184382,8.44763202265293,7.13248463372595,7.86073444448399,8.34768209180409,8.53244881257607,9.10555428784196,7.88810019334204,8.43049670428117,8.00327968406645,8.0485207946341,8.46295151764753,8.26926835372453,7.9254131439786,8.67030198852175,6.93667872478757,7.77369303795889,7.73485769832016,7.86503212234022
"GAPDH",13.5532795827756,12.6431903887022,12.46635290583,13.2523329343297,11.7149441574745,12.4646697881032,13.297890854196,12.697219768548,13.6766701838332,11.8305914867818,13.4348763039973,13.2291617879052,12.6615096621134,13.2333072501467,12.9479441498325,12.6313539326865,12.8114698216868,11.328652263669,-2.22686164277713,-1.83964268729273,-3.32192809488736
"TPI1",10.810933918328,10.1598719132341,10.1312173875057,10.0853360141029,9.63198103715503,9.99985066466092,10.2205590879036,10.1118787453018,10.8451287710912,10.0386636331435,10.578096133227,10.2739973195337,10.1569392290572,10.9712849132476,10.0418037881677,10.3376033939695,10.3938908209255,9.01582202772982,10.6840497658812,10.6021615782046,10.7121516952553
"LDHB",10.9466233453405,10.8903162633425,10.8560983595827,10.9201957892393,9.57014687723602,10.2582432601186,10.0253245058458,11.2413156576502,11.4741261810487,10.4468662898127,10.7657259817203,10.2001325506865,11.4072562564579,10.8988264923135,9.86624566200081,10.0621507906171,10.3904428663522,10.5210931726152,7.1538864939077,7.13119324014725,7.4857394977463
"COX6A1",9.34753551895725,9.57207608079247,9.41937623828604,9.10561523939543,9.28482427113172,8.96723558687061,8.74112531358618,9.67257214475236,9.29873715272476,10.6635758247325,9.01118894295768,8.76635835747652,8.84212627938251,9.50779580125305,8.39782789473057,8.19354014817874,8.65355050437874,8.91099545800294,9.25916424882577,9.18300715068393,9.21291455727535
"SRSF3",8.8621766708679,8.66675258162453,8.69152695901281,8.25710217335808,8.08297245203725,8.35874668250315,8.12747035363296,8.39300330747259,8.58513091493063,8.65385447939314,8.36643702528629,8.31996277083786,7.75779040628347,8.16739431264101,8.3150417888222,8.38043829762521,8.53794475352722,8.50332626365934,8.36674867647435,8.38187856693701,8.43360722237048
